journal_title,issn_print,issn_online,source,area,rank,active_status,source_type,best_rank,area_group,major_group
Malaysian Journal of Economic Studies,1511-4554,,ABDC,Applied economics,C ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Malaysian Journal of Economic Studies,1511-4554,,Scimago,"Economics, Econometrics and Finance (miscellaneous)",Q3,,,Q3,"Economics, Econometrics and Finance","Business, Economics & Management"
Malaysian Journal of Economic Studies,1511-4554,,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Management,1286-4692,,ABDC,"Strategy, management and organisational behaviour",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
Management,1286-4692,,AJG,General & Strategy,1,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
Management,1286-4692,,Scimago,"Business, Management and Accounting (miscellaneous)",Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Management,1286-4692,,Scimago,Strategy and Management,Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Management,1286-4692,,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Management & Organizational History,1744-9359,1744-9367,ABDC,Human resources and industrial relations,C ,,,,"Business, Management and Accounting","Business, Economics & Management"
Management & Organizational History,1744-9359,1744-9367,Scimago,Business and International Management,Q3,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management & Organizational History,1744-9359,1744-9367,Scimago,History,Q1,,,Q1,Arts and Humanities,Social Sciences & Humanities
Management & Organizational History,1744-9359,1744-9367,Scimago,Strategy and Management,Q3,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management & Organizational History,1744-9359,1744-9367,Scopus,Arts and Humanities,,Active,Journal,,Arts and Humanities,Social Sciences & Humanities
Management & Organizational History,1744-9359,1744-9367,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Management & Sustainability: An Arab Review,2752-9819,2752-9827,ABDC,"Strategy, management and organisational behaviour",C,,,,"Business, Management and Accounting","Business, Economics & Management"
Management & Sustainability: An Arab Review,2752-9819,2752-9827,Scimago,Business and International Management,Q2,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management & Sustainability: An Arab Review,2752-9819,2752-9827,Scimago,"Business, Management and Accounting (miscellaneous)",Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management & Sustainability: An Arab Review,2752-9819,2752-9827,Scimago,Management of Technology and Innovation,Q2,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management & Sustainability: An Arab Review,2752-9819,2752-9827,Scimago,Strategy and Management,Q2,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management & Sustainability: An Arab Review,2752-9819,2752-9827,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Management Accounting Frontiers,1443-9905,1443-9913,ABDC,"Accounting, auditing and accountability",C ,,,,"Business, Management and Accounting","Business, Economics & Management"
Management Accounting Quarterly,1528-5359,,ABDC,"Accounting, auditing and accountability",C ,,,,"Business, Management and Accounting","Business, Economics & Management"
Management Accounting Research,1044-5005,1096-1224,ABDC,"Accounting, auditing and accountability",A* ,,,,"Business, Management and Accounting","Business, Economics & Management"
Management Accounting Research,1044-5005,1096-1224,AJG,Finance & Accounting,3,,,,"Business, Management and Accounting","Business, Economics & Management"
Management Accounting Research,1044-5005,1096-1224,Scimago,Accounting,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management Accounting Research,1044-5005,1096-1224,Scimago,Finance,Q1,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
Management Accounting Research,1044-5005,1096-1224,Scimago,Information Systems and Management,Q1,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
Management Accounting Research,1044-5005,1096-1224,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Management Accounting Research,1044-5005,1096-1224,Scopus,Decision Sciences,,Active,Journal,,Decision Sciences,"Business, Economics & Management"
Management Accounting Research,1044-5005,1096-1224,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Management Communication Quarterly,0893-3189,1552-6798,ABDC,"Strategy, management and organisational behaviour",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
Management Communication Quarterly,0893-3189,1552-6798,AJG,General & Strategy,2,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
Management Communication Quarterly,0893-3189,1552-6798,Scimago,Communication,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Management Communication Quarterly,0893-3189,1552-6798,Scimago,Strategy and Management,Q2,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management Communication Quarterly,0893-3189,1552-6798,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Management Communication Quarterly,0893-3189,1552-6798,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Management Control,2239-0391,2239-4397,ABDC,"Accounting, auditing and accountability",C,,,,"Business, Management and Accounting","Business, Economics & Management"
Management Decision,0025-1747,1758-6070,ABDC,"Strategy, management and organisational behaviour",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
Management Decision,0025-1747,1758-6070,AJG,General & Strategy,2,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
Management Decision,0025-1747,1758-6070,Scimago,"Business, Management and Accounting (miscellaneous)",Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management Decision,0025-1747,1758-6070,Scimago,Management Science and Operations Research,Q1,,,Q1,Decision Sciences,"Business, Economics & Management"
Management Decision,0025-1747,1758-6070,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Management Decision,0025-1747,1758-6070,Scopus,Decision Sciences,,Active,Journal,,Decision Sciences,"Business, Economics & Management"
Management International Review,0938-8249,1861-8901,ABDC,"Strategy, management and organisational behaviour",A ,,,,"Business, Management and Accounting","Business, Economics & Management"
Management International Review,0938-8249,1861-8901,AJG,International Business,3,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
Management International Review,0938-8249,1861-8901,Scimago,Business and International Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management International Review,0938-8249,1861-8901,Scimago,Strategy and Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management International Review,0938-8249,1861-8901,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Management Learning,1350-5076,1461-7307,ABDC,"Strategy, management and organisational behaviour",A ,,,,"Business, Management and Accounting","Business, Economics & Management"
Management Learning,1350-5076,1461-7307,AJG,General & Strategy,3,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
Management Learning,1350-5076,1461-7307,Scimago,Decision Sciences (miscellaneous),Q1,,,Q1,Decision Sciences,"Business, Economics & Management"
Management Learning,1350-5076,1461-7307,Scimago,Management of Technology and Innovation,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management Learning,1350-5076,1461-7307,Scimago,Strategy and Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management Learning,1350-5076,1461-7307,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Management Learning,1350-5076,1461-7307,Scopus,Decision Sciences,,Active,Journal,,Decision Sciences,"Business, Economics & Management"
Management Research,1536-5433,,ABDC,"Strategy, management and organisational behaviour",C,,,,"Business, Management and Accounting","Business, Economics & Management"
Management Research,1536-5433,,Scimago,Business and International Management,Q3,,,Q3,"Business, Management and Accounting","Business, Economics & Management"
Management Research,1536-5433,,Scimago,Strategy and Management,Q3,,,Q3,"Business, Management and Accounting","Business, Economics & Management"
Management Research,1536-5433,,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Management Research Review,2040-8269,,ABDC,"Strategy, management and organisational behaviour",C,,,,"Business, Management and Accounting","Business, Economics & Management"
Management Research Review,2040-8269,,Scimago,"Business, Management and Accounting (miscellaneous)",Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management Research Review,2040-8269,,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Management Review Quarterly,2198-1620,2198-1639,ABDC,"Strategy, management and organisational behaviour",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
Management Review Quarterly,2198-1620,2198-1639,Scimago,"Business, Management and Accounting (miscellaneous)",Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management Review Quarterly,2198-1620,2198-1639,Scimago,Strategy and Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management Review Quarterly,2198-1620,2198-1639,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Management Science,0025-1909,1526-5501,ABDC,"Strategy, management and organisational behaviour",A* ,,,,"Business, Management and Accounting","Business, Economics & Management"
Management Science,0025-1909,1526-5501,AJG,Management Science,4*,,,,Decision Sciences,"Business, Economics & Management"
Management Science,0025-1909,1526-5501,AJG,Operations Research,4*,,,,Decision Sciences,"Business, Economics & Management"
Management Science,0025-1909,1526-5501,AJG,Production & Operations Management,4*,,,,Decision Sciences,"Business, Economics & Management"
Management Science,0025-1909,1526-5501,Scimago,Management Science and Operations Research,Q1,,,Q1,Decision Sciences,"Business, Economics & Management"
Management Science,0025-1909,1526-5501,Scimago,Strategy and Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management Science,0025-1909,1526-5501,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Management Science,0025-1909,1526-5501,Scopus,Decision Sciences,,Active,Journal,,Decision Sciences,"Business, Economics & Management"
Management Teaching Review,2379-2981,2379-2981,ABDC,"Strategy, management and organisational behaviour",C,,,,"Business, Management and Accounting","Business, Economics & Management"
Management Teaching Review,2379-2981,2379-2981,Scimago,"Business, Management and Accounting (miscellaneous)",Q3,,,Q3,"Business, Management and Accounting","Business, Economics & Management"
Management Teaching Review,2379-2981,2379-2981,Scimago,Education,Q3,,,Q3,Social Sciences,Social Sciences & Humanities
Management Teaching Review,2379-2981,2379-2981,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Management Teaching Review,2379-2981,2379-2981,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Management and Accounting Review,1675-4077,,ABDC,"Accounting, auditing and accountability",C ,,,,"Business, Management and Accounting","Business, Economics & Management"
Management and Labour Studies,0258-042X,2321-0710,ABDC,Human resources and industrial relations,C,,,,"Business, Management and Accounting","Business, Economics & Management"
Management and Labour Studies,0258-042X,2321-0710,Scimago,Business and International Management,Q3,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Management and Labour Studies,0258-042X,2321-0710,Scimago,Industrial Relations,Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Management and Labour Studies,0258-042X,2321-0710,Scimago,Organizational Behavior and Human Resource Management,Q3,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Management and Labour Studies,0258-042X,2321-0710,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Management and Organization Review,1740-8776,1740-8784,ABDC,"Strategy, management and organisational behaviour",A ,,,,"Business, Management and Accounting","Business, Economics & Management"
Management and Organization Review,1740-8776,1740-8784,AJG,General & Strategy,3,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
Management and Organization Review,1740-8776,1740-8784,Scimago,Business and International Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management and Organization Review,1740-8776,1740-8784,Scimago,Strategy and Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Management and Organization Review,1740-8776,1740-8784,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Management of Environmental Quality,1477-7835,,ABDC,"Other commerce, management, tourism and services",C,,,,"Business, Management and Accounting","Business, Economics & Management"
Management of Environmental Quality,1477-7835,,Scimago,"Biochemistry, Genetics and Molecular Biology (miscellaneous)",Q1,,,Q1,"Biochemistry, Genetics and Molecular Biology","Applied Sciences, Sustainability & Interdisciplinary"
Management of Environmental Quality,1477-7835,,Scimago,"Management, Monitoring, Policy and Law",Q1,,,Q1,Environmental Science,"Applied Sciences, Sustainability & Interdisciplinary"
Management of Environmental Quality,1477-7835,,Scimago,"Public Health, Environmental and Occupational Health",Q1,,,Q1,Medicine,Healthcare & Medical Systems
Management of Environmental Quality,1477-7835,,Scopus,"Biochemistry, Genetics and Molecular Biology",,Active,Journal,,"Biochemistry, Genetics and Molecular Biology","Applied Sciences, Sustainability & Interdisciplinary"
Management of Environmental Quality,1477-7835,,Scopus,Environmental Science,,Active,Journal,,Engineering,"Tech, Data & Quantitative Methods"
Management: Journal of Contemporary Management Issues,1331-0194,1846-3363,ABDC,"Strategy, management and organisational behaviour",C ,,,,"Business, Management and Accounting","Business, Economics & Management"
Management: Journal of Contemporary Management Issues,1331-0194,1846-3363,Scimago,"Business, Management and Accounting (miscellaneous)",Q4,,,Q4,"Business, Management and Accounting","Business, Economics & Management"
Management: Journal of Contemporary Management Issues,1331-0194,1846-3363,Scimago,Strategy and Management,Q4,,,Q4,"Business, Management and Accounting","Business, Economics & Management"
Management: Journal of Contemporary Management Issues,1331-0194,1846-3363,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Managerial Auditing Journal,0268-6902,1758-7735,ABDC,"Accounting, auditing and accountability",A,,,,"Business, Management and Accounting","Business, Economics & Management"
Managerial Auditing Journal,0268-6902,1758-7735,AJG,Finance & Accounting,2,,,,"Business, Management and Accounting","Business, Economics & Management"
Managerial Auditing Journal,0268-6902,1758-7735,Scimago,Accounting,Q2,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Managerial Auditing Journal,0268-6902,1758-7735,Scimago,"Business, Management and Accounting (miscellaneous)",Q2,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Managerial Auditing Journal,0268-6902,1758-7735,Scimago,"Economics, Econometrics and Finance (miscellaneous)",Q1,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
Managerial Auditing Journal,0268-6902,1758-7735,Scimago,Organizational Behavior and Human Resource Management,Q2,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Managerial Auditing Journal,0268-6902,1758-7735,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Managerial Auditing Journal,0268-6902,1758-7735,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Managerial Finance,0307-4358,1758-7743,ABDC,"Banking, finance and investment",B ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Managerial Finance,0307-4358,1758-7743,AJG,Finance & Accounting,1,,,,"Business, Management and Accounting","Business, Economics & Management"
Managerial Finance,0307-4358,1758-7743,Scimago,"Business, Management and Accounting (miscellaneous)",Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Managerial Finance,0307-4358,1758-7743,Scimago,Finance,Q2,,,Q2,"Economics, Econometrics and Finance","Business, Economics & Management"
Managerial Finance,0307-4358,1758-7743,Scimago,Strategy and Management,Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Managerial Finance,0307-4358,1758-7743,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Managerial Finance,0307-4358,1758-7743,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Managerial and Decision Economics,0143-6570,1099-1468,ABDC,Applied economics,B ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Managerial and Decision Economics,0143-6570,1099-1468,AJG,Economics,2,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Managerial and Decision Economics,0143-6570,1099-1468,Scimago,Business and International Management,Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Managerial and Decision Economics,0143-6570,1099-1468,Scimago,Management Science and Operations Research,Q2,,,Q2,Decision Sciences,"Business, Economics & Management"
Managerial and Decision Economics,0143-6570,1099-1468,Scimago,Management of Technology and Innovation,Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Managerial and Decision Economics,0143-6570,1099-1468,Scimago,Strategy and Management,Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Managerial and Decision Economics,0143-6570,1099-1468,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Managerial and Decision Economics,0143-6570,1099-1468,Scopus,Decision Sciences,,Active,Journal,,Decision Sciences,"Business, Economics & Management"
Managing Sport and Leisure,2375-0472,2375-0480,ABDC,Commercial services,B ,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
Managing Sport and Leisure,2375-0472,2375-0480,Scimago,"Tourism, Leisure and Hospitality Management",Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Managing Sport and Leisure,2375-0472,2375-0480,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Manchester Journal of International Economic Law,1742-3945,,ABDC,Commercial law,C ,,,,Social Sciences,Social Sciences & Humanities
Manchester Journal of International Economic Law,1742-3945,,Scimago,Economics and Econometrics,Q4,,,Q3,"Economics, Econometrics and Finance","Business, Economics & Management"
Manchester Journal of International Economic Law,1742-3945,,Scimago,Law,Q3,,,Q3,Social Sciences,Social Sciences & Humanities
Manchester Journal of International Economic Law,1742-3945,,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Manchester Journal of International Economic Law,1742-3945,,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Manchester School,1463-6786,1467-9957,ABDC,Applied economics,B ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Manchester School,1463-6786,1467-9957,AJG,Economics,2,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Manchester School,1463-6786,1467-9957,Scimago,Economics and Econometrics,Q3,,,Q3,"Economics, Econometrics and Finance","Business, Economics & Management"
Manchester School,1463-6786,1467-9957,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Manufacturing and Service Operations Management,1523-4614,1526-5498,ABDC,"Transportation, logistics and supply chains",A*,,,,Social Sciences,Social Sciences & Humanities
Manufacturing and Service Operations Management,1523-4614,1526-5498,AJG,Management Science,3,,,,Decision Sciences,"Business, Economics & Management"
Manufacturing and Service Operations Management,1523-4614,1526-5498,AJG,Operations Research,3,,,,Decision Sciences,"Business, Economics & Management"
Manufacturing and Service Operations Management,1523-4614,1526-5498,AJG,Production & Operations Management,3,,,,Decision Sciences,"Business, Economics & Management"
Manufacturing and Service Operations Management,1523-4614,1526-5498,Scimago,Management Science and Operations Research,Q1,,,Q1,Decision Sciences,"Business, Economics & Management"
Manufacturing and Service Operations Management,1523-4614,1526-5498,Scimago,Strategy and Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Manufacturing and Service Operations Management,1523-4614,1526-5498,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Manufacturing and Service Operations Management,1523-4614,1526-5498,Scopus,Decision Sciences,,Active,Journal,,Decision Sciences,"Business, Economics & Management"
Margin: The journal of applied economic research,0973-8010,0973-8029,ABDC,Applied economics,C ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Margin: The journal of applied economic research,0973-8010,0973-8029,Scimago,Development,Q3,,,Q3,Social Sciences,Social Sciences & Humanities
Margin: The journal of applied economic research,0973-8010,0973-8029,Scimago,"Economics, Econometrics and Finance (miscellaneous)",Q3,,,Q3,"Economics, Econometrics and Finance","Business, Economics & Management"
Margin: The journal of applied economic research,0973-8010,0973-8029,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Margin: The journal of applied economic research,0973-8010,0973-8029,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Marine Policy,0308-597X,1872-9460,ABDC,Commercial law,A ,,,,Social Sciences,Social Sciences & Humanities
Marine Policy,0308-597X,1872-9460,AJG,Economics,2,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Marine Policy,0308-597X,1872-9460,Scimago,Aquatic Science,Q1,,,Q1,Agricultural and Biological Sciences,"Applied Sciences, Sustainability & Interdisciplinary"
Marine Policy,0308-597X,1872-9460,Scimago,Economics and Econometrics,Q1,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
Marine Policy,0308-597X,1872-9460,Scimago,Environmental Science (miscellaneous),Q1,,,Q1,Engineering,"Tech, Data & Quantitative Methods"
Marine Policy,0308-597X,1872-9460,Scimago,Law,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Marine Policy,0308-597X,1872-9460,Scimago,"Management, Monitoring, Policy and Law",Q1,,,Q1,Environmental Science,"Applied Sciences, Sustainability & Interdisciplinary"
Marine Policy,0308-597X,1872-9460,Scopus,Agricultural and Biological Sciences,,Active,Journal,,Agricultural and Biological Sciences,"Applied Sciences, Sustainability & Interdisciplinary"
Marine Policy,0308-597X,1872-9460,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Marine Policy,0308-597X,1872-9460,Scopus,Environmental Science,,Active,Journal,,Engineering,"Tech, Data & Quantitative Methods"
Marine Policy,0308-597X,1872-9460,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Marine Resource Economics,0738-1360,2334-5985,ABDC,Applied economics,A ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Marine Resource Economics,0738-1360,2334-5985,Scimago,Economics and Econometrics,Q2,,,Q2,"Economics, Econometrics and Finance","Business, Economics & Management"
Marine Resource Economics,0738-1360,2334-5985,Scimago,"Geography, Planning and Development",Q2,,,Q2,Social Sciences,Social Sciences & Humanities
Marine Resource Economics,0738-1360,2334-5985,Scimago,"Management, Monitoring, Policy and Law",Q3,,,Q2,Environmental Science,"Applied Sciences, Sustainability & Interdisciplinary"
Marine Resource Economics,0738-1360,2334-5985,Scimago,Oceanography,Q2,,,Q2,Earth and Planetary Sciences,"Applied Sciences, Sustainability & Interdisciplinary"
Marine Resource Economics,0738-1360,2334-5985,Scopus,Earth and Planetary Sciences,,Active,Journal,,Earth and Planetary Sciences,"Applied Sciences, Sustainability & Interdisciplinary"
Marine Resource Economics,0738-1360,2334-5985,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Marine Resource Economics,0738-1360,2334-5985,Scopus,Environmental Science,,Active,Journal,,Engineering,"Tech, Data & Quantitative Methods"
Marine Resource Economics,0738-1360,2334-5985,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Maritime Business Review,2397-3757,2397-3765,ABDC,"Transportation, logistics and supply chains",C ,,,,Social Sciences,Social Sciences & Humanities
Maritime Business Review,2397-3757,2397-3765,Scimago,Business and International Management,Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Maritime Business Review,2397-3757,2397-3765,Scimago,Management of Technology and Innovation,Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Maritime Business Review,2397-3757,2397-3765,Scimago,Strategy and Management,Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Maritime Business Review,2397-3757,2397-3765,Scimago,Transportation,Q2,,,Q2,Social Sciences,Social Sciences & Humanities
Maritime Business Review,2397-3757,2397-3765,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Maritime Business Review,2397-3757,2397-3765,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Maritime Economics & Logistics,1479-2931,1479-294X,ABDC,Applied economics,B ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Maritime Economics & Logistics,1479-2931,1479-294X,AJG,Economics,1,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Maritime Economics & Logistics,1479-2931,1479-294X,Scimago,"Economics, Econometrics and Finance (miscellaneous)",Q1,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
Maritime Economics & Logistics,1479-2931,1479-294X,Scimago,Transportation,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Maritime Economics & Logistics,1479-2931,1479-294X,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Maritime Economics & Logistics,1479-2931,1479-294X,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Maritime Policy and Management,0308-8839,1464-5254,ABDC,"Transportation, logistics and supply chains",B,,,,Social Sciences,Social Sciences & Humanities
Maritime Policy and Management,0308-8839,1464-5254,Scimago,"Geography, Planning and Development",Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Maritime Policy and Management,0308-8839,1464-5254,Scimago,"Management, Monitoring, Policy and Law",Q1,,,Q1,Environmental Science,"Applied Sciences, Sustainability & Interdisciplinary"
Maritime Policy and Management,0308-8839,1464-5254,Scimago,Ocean Engineering,Q1,,,Q1,Engineering,"Tech, Data & Quantitative Methods"
Maritime Policy and Management,0308-8839,1464-5254,Scimago,Transportation,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Maritime Policy and Management,0308-8839,1464-5254,Scopus,Engineering,,Active,Journal,,Engineering,"Tech, Data & Quantitative Methods"
Maritime Policy and Management,0308-8839,1464-5254,Scopus,Environmental Science,,Active,Journal,,Engineering,"Tech, Data & Quantitative Methods"
Maritime Policy and Management,0308-8839,1464-5254,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Market Microstructure and Liquidity,2382-6266,2424-8037,ABDC,"Banking, finance and investment",B ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Marketing Bulletin,1176-645X,,ABDC,Marketing,C,,,,"Business, Management and Accounting","Business, Economics & Management"
Marketing Education Review,1052-8008,2153-9987,ABDC,Marketing,C,,,,"Business, Management and Accounting","Business, Economics & Management"
Marketing Education Review,1052-8008,2153-9987,Scimago,Education,Q2,,,Q2,Social Sciences,Social Sciences & Humanities
Marketing Education Review,1052-8008,2153-9987,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Marketing Health Services,1094-1304,,ABDC,Marketing,C,,,,"Business, Management and Accounting","Business, Economics & Management"
Marketing Health Services,1094-1304,,Scopus,"Business, Management and Accounting",,Inactive,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Marketing Health Services,1094-1304,,Scopus,Medicine,,Inactive,Journal,,Medicine,Healthcare & Medical Systems
Marketing Intelligence & Planning,0263-4503,1758-8049,ABDC,Marketing,A,,,,"Business, Management and Accounting","Business, Economics & Management"
Marketing Intelligence & Planning,0263-4503,1758-8049,AJG,Marketing,1,,,,"Business, Management and Accounting","Business, Economics & Management"
Marketing Intelligence & Planning,0263-4503,1758-8049,Scimago,Marketing,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Marketing Intelligence & Planning,0263-4503,1758-8049,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Marketing Letters,0923-0645,1573-059X,ABDC,Marketing,A,,,,"Business, Management and Accounting","Business, Economics & Management"
Marketing Letters,0923-0645,1573-059X,AJG,Marketing,3,,,,"Business, Management and Accounting","Business, Economics & Management"
